#,Title,Abstract,CPC Classifications,IPCR Classifications,Combined,Keyphrases
11,"Breathable, heat-reflecting textile articles","A breathable, heat-reflecting textile article comprises a fabric consisting of a network of fibers, filaments, yarns or threads of at least one heat-resistant material, wherein the surfaces of at least some of the fibres have a coating of deposited metal. In a preferred embodiment the deposited metal is selected from aluminium, silver and gold. The fibres are preferably formed of carbon, aramid polymers (such as Kevlar (RTM)), polyphenylene benzobisoxazole (such as Zylon (RTM)) or polybenzimidazole (PBI). Preferably the fibres are also at least partially covered by a durable water repellent coating such as a polyfluorocarbon. The textile article has particular usefulness in the construction of breathable, heat-reflecting, light and durable garments for firefighters and others who work in close proximity to fires.",B32B5/26;;A41D31/085;;A62B17/003;;B32B5/024;;B32B5/026;;B32B7/06;;B32B2250/20;;B32B2255/02;;B32B2255/205;;B32B2255/26;;B32B2255/28;;B32B2260/021;;B32B2260/046;;B32B2262/02;;B32B2262/0246;;B32B2262/0269;;B32B2262/04;;B32B2262/106;;B32B2307/306;;B32B2307/3065;;B32B2307/416;;B32B2307/54;;B32B2307/554;;B32B2307/71;;B32B2307/724;;B32B2307/73;;B32B2307/748;;B32B2437/00;;B32B2437/02;;B32B2437/04;;B32B2571/00;;D02G3/443;;D06M11/83;;D06M13/08;;D06M15/256;;D06M2101/36;;D06M2101/40;;D06M2200/30;;D10B2101/12;;D10B2331/021;;D10B2331/14;;A41D31/085;;A62B17/003;;D02G3/443;;D03D15/513;;D10B2331/021,A41D31/08;;A62B17/00;;D02G3/44;;D03D15/12,"Breathable, heat-reflecting textile articles A breathable, heat-reflecting textile article comprises a fabric consisting of a network of fibers, filaments, yarns or threads of at least one heat-resistant material, wherein the surfaces of at least some of the fibres have a coating of deposited metal. In a preferred embodiment the deposited metal is selected from aluminium, silver and gold. The fibres are preferably formed of carbon, aramid polymers (such as Kevlar (RTM)), polyphenylene benzobisoxazole (such as Zylon (RTM)) or polybenzimidazole (PBI). Preferably the fibres are also at least partially covered by a durable water repellent coating such as a polyfluorocarbon. The textile article has particular usefulness in the construction of breathable, heat-reflecting, light and durable garments for firefighters and others who work in close proximity to fires.",
12,TEXTILE ELEMENTARY MONOFILAMENT CONSISTING OF A POLYESTER,"The invention relates to a textile elementary monofilament consisting of a polyester, said textile elementary monofilament having a melting temperature Tf greater than or equal to 240°C, a tenacity greater than or equal to 2.5 cN/tex and an elongation at break greater than or equal to 10%, as well as to a method for producing such a monofilament.",D01F6/62;;D01F1/10;;D01F6/86;;C08G63/181;;C08G63/199;;C08G63/78;;C08G63/85;;C08G63/672;;C08G63/78;;D01D5/08;;D01F6/84;;D10B2331/04;;D10B2401/063,D01F6/62;;C08G63/672;;D01F1/10;;D01F6/86,"TEXTILE ELEMENTARY MONOFILAMENT CONSISTING OF A POLYESTER The invention relates to a textile elementary monofilament consisting of a polyester, said textile elementary monofilament having a melting temperature Tf greater than or equal to 240°C, a tenacity greater than or equal to 2.5 cN/tex and an elongation at break greater than or equal to 10%, as well as to a method for producing such a monofilament.",
13,EASY-PRINT PACKAGING SHEET AND MANUFACTURING METHOD THEREFOR,An easy-print packaging sheet and a manufacturing method therefor. Raw materials of the easy-print packaging sheet contain polyethylene; the smoothness of the packaging sheet is 70-250 seconds; the drape coefficient of the packaging sheet is 78-92%; the burst index of the packaging sheet is 8-15 kPa·m2/g; and the light shielding rate of the packaging sheet is 85-95%. The packaging sheet having good comprehensive performance is prepared by means of a flash spinning process and the improvement of raw materials and a spinning process.,D04H3/007;;D04H3/02;;D04H3/14;;D01D5/11;;D01F6/46;;D01F1/10;;D01F1/103;;D10B2321/021;;C08J5/18;;C08K3/22;;C08K9/06;;D01D5/11;;D01F1/103;;D01F6/04;;D04H1/724;;D04H1/4291;;D04H1/413;;B65D65/38;;B65D2565/382;;D21B1/30;;D21J3/12,B65D65/38;;D21B1/30;;D21J3/12,EASY-PRINT PACKAGING SHEET AND MANUFACTURING METHOD THEREFOR An easy-print packaging sheet and a manufacturing method therefor. Raw materials of the easy-print packaging sheet contain polyethylene; the smoothness of the packaging sheet is 70-250 seconds; the drape coefficient of the packaging sheet is 78-92%; the burst index of the packaging sheet is 8-15 kPa·m2/g; and the light shielding rate of the packaging sheet is 85-95%. The packaging sheet having good comprehensive performance is prepared by means of a flash spinning process and the improvement of raw materials and a spinning process.,
14,Method of manufacturing a reinforcing thread,"The object of the invention is a method of manufacturing, by friction spinning, a reinforcing thread (1) for fabric covering or a technical textile intended to be incorporated in a textile base, in which: the spinning machine (7) is supplied with a core thread (2); the spinning machine (7) is supplied simultaneously with a sliver (9) of fibers (3, 4), the said fibers (3, 4) being individualized and then associated with the said core thread (2); in which the sliver (9) of fibers is formed from a mixture of hot-melt fibers (3) and high melting point fibers (4).",D02G3/402;;D01H4/00;;D01H4/18;;D02G3/36;;D02G3/36;;D02G3/402;;D01H4/00;;D01H4/18;;D02G3/36,D02G3/36;;D01H4/00;;D01H4/18;;D02G3/38;;D02G3/40,"Method of manufacturing a reinforcing thread The object of the invention is a method of manufacturing, by friction spinning, a reinforcing thread (1) for fabric covering or a technical textile intended to be incorporated in a textile base, in which: the spinning machine (7) is supplied with a core thread (2); the spinning machine (7) is supplied simultaneously with a sliver (9) of fibers (3, 4), the said fibers (3, 4) being individualized and then associated with the said core thread (2); in which the sliver (9) of fibers is formed from a mixture of hot-melt fibers (3) and high melting point fibers (4).",
15,"Light, thin, wear-resistant and high-strength home textile fabric","The utility model provides a light, thin, wear-resistant and high-strength home textile fabric, which relates to the technical field of home textile fabrics and comprises a fabric base layer, a Kevlar fiber layer is arranged at the top of the fabric base layer, and the Kevlar fiber layer comprises a plurality of first Kevlar threads and a plurality of second Kevlar threads. According to the home textile fabric, the Kevlar fiber layer is formed by weaving the first Kevlar threads and the second Kevlar threads, and the Kevlar fiber layer has ultrahigh strength, good toughness and tensile resistance, so that the wear resistance and tear resistance of the home textile fabric can be effectively improved when the home textile fabric is used, and the service life of the home textile fabric is prolonged. Meanwhile, the plurality of first Kola nylon yarns and the plurality of second Kola nylon yarns are mutually woven to form the Kola nylon layer, and the Kola nylon layer has wear resistance, tear resistance, light weight and softness, so that the wear resistance and tear resistance of the home textile fabric can be improved again in use, and the service life of the home textile fabric is prolonged in use. The usability of the home textile fabric can be effectively improved.",,B32B27/34;;B32B9/02;;B32B9/04;;B32B27/02;;B32B27/12;;B32B33/00,"Light, thin, wear-resistant and high-strength home textile fabric The utility model provides a light, thin, wear-resistant and high-strength home textile fabric, which relates to the technical field of home textile fabrics and comprises a fabric base layer, a Kevlar fiber layer is arranged at the top of the fabric base layer, and the Kevlar fiber layer comprises a plurality of first Kevlar threads and a plurality of second Kevlar threads. According to the home textile fabric, the Kevlar fiber layer is formed by weaving the first Kevlar threads and the second Kevlar threads, and the Kevlar fiber layer has ultrahigh strength, good toughness and tensile resistance, so that the wear resistance and tear resistance of the home textile fabric can be effectively improved when the home textile fabric is used, and the service life of the home textile fabric is prolonged. Meanwhile, the plurality of first Kola nylon yarns and the plurality of second Kola nylon yarns are mutually woven to form the Kola nylon layer, and the Kola nylon layer has wear resistance, tear resistance, light weight and softness, so that the wear resistance and tear resistance of the home textile fabric can be improved again in use, and the service life of the home textile fabric is prolonged in use. The usability of the home textile fabric can be effectively improved.",
16,POLYESTER FIBER AND TEXTILE PRODUCT COMPRISING THE SAME,"Polyester fibers comprising a polyester resin composition which contains carbon black and comprises trimethylene terephthalate units as the main repeating structural units, and having an average resistivity (P) of 1.0x1012 [Omega/cm] or lower; and a polyester textile product at least part of which is made of the polyester fibers. The polyester fibers have high conductivity and are highly excellent in conductivity stability to humidity fluctuations. The textile product comprising the polyester fibers has excellent performances, and examples thereof include a fibrous brush.",D01F1/09;;D01F6/92;;D01F8/14;;D04B21/16;;D10B2401/041;;D01F6/92;;D01F6/62;;D01F8/14;;D01F1/09;;D01F6/92;;D01F8/14;;D04B21/16;;D10B2401/041,C08K3/04;;D04H1/435,"POLYESTER FIBER AND TEXTILE PRODUCT COMPRISING THE SAME Polyester fibers comprising a polyester resin composition which contains carbon black and comprises trimethylene terephthalate units as the main repeating structural units, and having an average resistivity (P) of 1.0x1012 [Omega/cm] or lower; and a polyester textile product at least part of which is made of the polyester fibers. The polyester fibers have high conductivity and are highly excellent in conductivity stability to humidity fluctuations. The textile product comprising the polyester fibers has excellent performances, and examples thereof include a fibrous brush.",
17,Fire-proof flannelet fabric for full-vitality textile,"The invention relates to a fire-proof flannelet fabric for a full-vitality textile. The full-vitality fire-proof flannelet fabric comprises a spandex flannelet fabric body (1), wherein the upper surface of the spandex flannelet fabric body is provided with a radiation-resistant layer (2); the upper surface of the radiation-resistant layer is provided with a wearing layer (4); the lower surface of the spandex flannelet fabric body is sequentially provided with an antibacterial layer, a fire-proof layer, a waterproof layer and a body-contact layer; the back surface of the body-contact layer is provided with a lining textile layer; the lining textile layer comprises a base fabric body layer of a printed textile and a lining layer attached to the bottom of the base fabric body; the base fabric body is formed by interweaving wefts and warps and has insequent grains; a hot melt adhesive layer is arranged between the lining layer and the base fabric body layer; a fuzz layer is attached to the surface of the base fabric body layer, and the upper surface of the fuzz layer is provided with an ink printing layer. The full-vitality fire-proof flannelet fabric has a three-dimension effect, and also has an antibacterial function, a radiation-resistant function, a fire-proof function, a waterproof function, an abrasion-proof function and the like. The textile is full of vitality.",B32B5/02;;B32B3/266;;B32B3/30;;B32B5/024;;B32B5/026;;B32B5/06;;B32B5/16;;B32B5/24;;B32B5/26;;B32B5/30;;B32B7/12;;B32B33/00;;B32B2262/0292;;B32B2262/103;;B32B2262/12;;B32B2307/3065;;B32B2307/554;;B32B2307/7145;;B32B2307/7265;;D02G3/12;;D02G3/328;;D02G3/36;;D02G3/441,B32B27/02;;B32B3/24;;B32B3/30;;B32B5/02;;B32B5/06;;B32B5/24;;B32B5/30;;B32B7/12;;B32B27/06;;B32B27/12;;B32B27/40;;B32B33/00;;D02G3/12;;D02G3/32;;D02G3/36;;D02G3/44,"Fire-proof flannelet fabric for full-vitality textile The invention relates to a fire-proof flannelet fabric for a full-vitality textile. The full-vitality fire-proof flannelet fabric comprises a spandex flannelet fabric body (1), wherein the upper surface of the spandex flannelet fabric body is provided with a radiation-resistant layer (2); the upper surface of the radiation-resistant layer is provided with a wearing layer (4); the lower surface of the spandex flannelet fabric body is sequentially provided with an antibacterial layer, a fire-proof layer, a waterproof layer and a body-contact layer; the back surface of the body-contact layer is provided with a lining textile layer; the lining textile layer comprises a base fabric body layer of a printed textile and a lining layer attached to the bottom of the base fabric body; the base fabric body is formed by interweaving wefts and warps and has insequent grains; a hot melt adhesive layer is arranged between the lining layer and the base fabric body layer; a fuzz layer is attached to the surface of the base fabric body layer, and the upper surface of the fuzz layer is provided with an ink printing layer. The full-vitality fire-proof flannelet fabric has a three-dimension effect, and also has an antibacterial function, a radiation-resistant function, a fire-proof function, a waterproof function, an abrasion-proof function and the like. The textile is full of vitality.",
18,Lightweight fabrics containing carbon-containing aramid fiber blend including modacrylic fiber,"An article of thermal protective clothing suitable for use in arc protection comprising a woven fabric comprising yarns comprising modacrylic fiber and aramid fiber, wherein 25 to 100 parts of the aramid fiber contain 0.5 to 20 weight percent discrete homogeneously dispersed carbon particles and 0 to 75 parts of the aramid fiber are free of discrete carbon particles; the fabric having an ATPV of 10 cal/cm2 or greater at a basis weight of 6 ounces per square yard (203 grams per square meter) or less, and a total content of 0.1 to 3 weight percent discrete carbon particles.",D01F1/09;;A41D13/008;;A41D31/08;;A41D31/26;;A41D2500/20;;D01F6/605;;D02G3/047;;D02G3/443;;D03D15/513;;D10B2321/101;;D10B2331/021;;D03D15/283;;A41D13/008;;A41D31/08;;A41D31/26;;A41D2500/20;;D01F1/09;;D01F6/605;;D02G3/047;;D02G3/443;;D03D15/513;;D03D15/533;;D10B2321/101;;D10B2331/021;;D10B2501/04;;D01F1/09;;A41D13/008;;A41D31/08;;A41D31/26;;A41D2500/20;;D01F6/605;;D02G3/047;;D02G3/443;;D03D15/513;;D10B2321/101;;D10B2331/021,D03D15/12;;A41D13/008;;A41D31/00;;D01F1/09;;D01F6/60;;D02G3/04;;D02G3/44;;D03D15/00,"Lightweight fabrics containing carbon-containing aramid fiber blend including modacrylic fiber An article of thermal protective clothing suitable for use in arc protection comprising a woven fabric comprising yarns comprising modacrylic fiber and aramid fiber, wherein 25 to 100 parts of the aramid fiber contain 0.5 to 20 weight percent discrete homogeneously dispersed carbon particles and 0 to 75 parts of the aramid fiber are free of discrete carbon particles; the fabric having an ATPV of 10 cal/cm2 or greater at a basis weight of 6 ounces per square yard (203 grams per square meter) or less, and a total content of 0.1 to 3 weight percent discrete carbon particles.",
19,Coated textile sleeve and method of construction thereof,"A textile sleeve and method of construction thereof is provided. The textile sleeve has a water-based, impervious coating for protecting elongate members contained within the sleeve. The sleeve has a flexible, tubular wall of tightly braided yarns with a coating applied thereto to render the wall impervious to fluid. The coating is a water-based coating applied as two distinct, first and second layers. The first, underlying layer includes a dielectric enhancing additive and a thickening agent to enhance the impermeability of the wall. The second, outer layer contains a similar formulation as the underlying first layer, however, it is free of the thickening agent.",D06N3/047;;D06N3/0002;;D06N3/0063;;D06N2205/023;;D06N2209/04;;D06N2209/126;;D06N2213/03;;F16L57/00;;D06N3/04;;D06N3/00;;F16L57/00;;D06N3/047;;D06N3/0002;;D06N3/0063;;D06N2205/023;;D06N2209/04;;D06N2209/126;;D06N2213/03;;F16L57/00,D04C1/02,"Coated textile sleeve and method of construction thereof A textile sleeve and method of construction thereof is provided. The textile sleeve has a water-based, impervious coating for protecting elongate members contained within the sleeve. The sleeve has a flexible, tubular wall of tightly braided yarns with a coating applied thereto to render the wall impervious to fluid. The coating is a water-based coating applied as two distinct, first and second layers. The first, underlying layer includes a dielectric enhancing additive and a thickening agent to enhance the impermeability of the wall. The second, outer layer contains a similar formulation as the underlying first layer, however, it is free of the thickening agent.",
20,High-elasticity textile yarn and production method thereof,"The invention discloses a high-elasticity textile yarn, the yarn is 55/45 cotton/ammonia covering yarn, the yarn is formed by spinning cotton fiber and spandex yarn, the cotton fiber is long stapled cotton, the main body length of the cotton fiber is controlled to be 38 mm or above, the short fiber rate is controlled to be 9.5% or below, the fineness is 1.45-1.50 dtex, the maturity coefficient is about 1.5, and the nep is controlled to be 15-20/g. The high-elasticity textile yarn is characterized in that the high-elasticity textile yarn is a spandex yarn, the single-fiber strength is about 4.55 CN, the number of defects is controlled to be 16-42/g, and the spandex yarn is a 30D high-elasticity spandex yarn, and the invention discloses a production method of the high-elasticity textile yarn. The invention relates to the technical field of yarns, and particularly provides a high-elasticity textile yarn and a production method thereof.",D02G3/328;;D02G3/04;;D10B2201/02;;D10B2331/10;;D10B2401/061;;D10B2401/022,D02G3/32;;D02G3/04,"High-elasticity textile yarn and production method thereof The invention discloses a high-elasticity textile yarn, the yarn is 55/45 cotton/ammonia covering yarn, the yarn is formed by spinning cotton fiber and spandex yarn, the cotton fiber is long stapled cotton, the main body length of the cotton fiber is controlled to be 38 mm or above, the short fiber rate is controlled to be 9.5% or below, the fineness is 1.45-1.50 dtex, the maturity coefficient is about 1.5, and the nep is controlled to be 15-20/g. The high-elasticity textile yarn is characterized in that the high-elasticity textile yarn is a spandex yarn, the single-fiber strength is about 4.55 CN, the number of defects is controlled to be 16-42/g, and the spandex yarn is a 30D high-elasticity spandex yarn, and the invention discloses a production method of the high-elasticity textile yarn. The invention relates to the technical field of yarns, and particularly provides a high-elasticity textile yarn and a production method thereof.",
21,"THERMOPLASTIC MODACRYLIC RESIN COMPOSITION, METHOD FOR MANUFACTURING SAME, MOLDED ARTICLE OF SAME, AND ACRYLIC FIBERS AND METHOD FOR MANUFACTURING SAME","A thermoplastic modacrylic resin composition includes a modacrylic resin and a plasticizer The modacrylic resin includes 15 to 85 wt % of acrylonitrile, 15 to 85 wt % of vinyl chloride and/or vinylidene chloride, and 0 to 20 wt % of another vinyl monomer, and the plasticizer is an organic compound that is compatible with the modacrylic resin and has a boiling point of at least 200° C. A method for manufacturing a thermoplastic modacrylic resin composition includes melt-kneading a powder mixture obtained by mixing a modacrylic resin powder and an organic compound that is compatible with the modacrylic resin and has a boiling point of at least 200° C. Acrylic fibers are composed of a thermoplastic modacrylic resin composition.",C08F214/06;;C08F212/30;;C08F220/44;;C08K5/0016;;C08L27/06;;C08L2205/02;;C08L2205/035;;D01F1/10;;D01F6/40;;C08K5/41;;C08F212/30;;C08F214/06;;C08F220/44;;C08K5/0016;;C08K5/1575;;C08L27/06;;C08L33/20;;C08L2205/02;;C08L2205/035;;D01F1/10;;D01F6/40,C08K5/41;;C08F214/06;;C08K5/00;;C08K5/1575;;C08L27/06;;C08L33/20;;D01F1/10;;D01F6/40,"THERMOPLASTIC MODACRYLIC RESIN COMPOSITION, METHOD FOR MANUFACTURING SAME, MOLDED ARTICLE OF SAME, AND ACRYLIC FIBERS AND METHOD FOR MANUFACTURING SAME A thermoplastic modacrylic resin composition includes a modacrylic resin and a plasticizer The modacrylic resin includes 15 to 85 wt % of acrylonitrile, 15 to 85 wt % of vinyl chloride and/or vinylidene chloride, and 0 to 20 wt % of another vinyl monomer, and the plasticizer is an organic compound that is compatible with the modacrylic resin and has a boiling point of at least 200° C. A method for manufacturing a thermoplastic modacrylic resin composition includes melt-kneading a powder mixture obtained by mixing a modacrylic resin powder and an organic compound that is compatible with the modacrylic resin and has a boiling point of at least 200° C. Acrylic fibers are composed of a thermoplastic modacrylic resin composition.",
22,Safety barrier including a method for erecting the same,"A safety barrier includes at least one cable of synthetic textile materials, wherein the cable is composed of a central core having parallel synthetic yarns individually encased in a flexible, insulating adhesive binder which is disposed in abutting concentric layers to form the core and which is encased in an outer protective layer of coated braid. The cable is spaced from a highway by supports having a frangable retaining elements thereon. The safety barrier is erected by placing it on the supports while maintaining the cable under a minimum tension of about 5 tons.",E01F15/12;;E01F15/065;;E01F15/12;;E01F15/065,E01F15/00;;E01F15/06;;E01F15/12,"Safety barrier including a method for erecting the same A safety barrier includes at least one cable of synthetic textile materials, wherein the cable is composed of a central core having parallel synthetic yarns individually encased in a flexible, insulating adhesive binder which is disposed in abutting concentric layers to form the core and which is encased in an outer protective layer of coated braid. The cable is spaced from a highway by supports having a frangable retaining elements thereon. The safety barrier is erected by placing it on the supports while maintaining the cable under a minimum tension of about 5 tons.",
23,"PROTECTIVE GLOVE FOR ELECTRIC WELDING, AND MANUFACTURING METHOD THEREFOR","This invention discloses an electro-welding protective glove and its preparation method. The method comprises: S1, selecting raw materials; S2, preparing a refined terephthalic acid/graphene oxide/ethylene glycol modified slurry; S3, esterification reaction; S4, condensation reaction; S5, heating and melting the modified graphene oxide flame-retardant polyester masterbatch, then spinning it into a bundle; S6, weaving the obtained graphene oxide flame-retardant polyester filament into a woven fabric; S7, preparing a flame-retardant agent finishing solution, immersing the fabric into the finishing solution, then drying it; S8, according to the glove template, cutting and sewing the obtained fabric. This invention also provides an electro-welding protective glove prepared by the method. The method provided by this invention is simple and suitable for electro-welding and other fields, and can effectively protect human safety.",D06M11/71;;D06M11/47;;D01F6/92;;D01F1/07;;A41D19/0055;;D06M2101/32;;D06M2200/30;;A41D2600/202;;A41D19/01529;;D01D1/04;;C08J3/22;;C08K13/02;;D01D5/08;;C08K3/042;;D01F1/07;;D01D1/106;;C08K2003/2282;;C08K2003/322;;C08K5/54;;D01F6/62;;C08K3/2279;;C08K3/22;;D01D10/02;;D03D15/513;;D03D15/283;;D10B2331/04;;D10B2401/04;;D10B2501/041;;D01F1/07;;D01F6/92;;D06M11/47;;D06M11/71;;A41D19/0055;;D06M2101/32;;D06M2200/30;;A41D2600/202;;C08K3/042;;D03D15/283;;D03D15/513;;A41D19/01529;;A41D2600/202;;C08G63/183;;C08J3/22;;C08J2367/02;;C08J2429/04;;C08J2471/02;;C08K5/54;;C08K13/02;;C08K2003/2282;;C08K2003/322;;C08L67/02;;C08L2201/02;;C08L2205/03;;C08L2310/00;;D01D1/04;;D01D1/106;;D01D5/08;;D01F1/07;;D01F6/62;;D06B3/185;;D10B2331/04;;D10B2401/04;;D10B2501/041,D06M11/71;;A41D19/015;;D01F1/07;;D01F6/92;;D06M11/47,"PROTECTIVE GLOVE FOR ELECTRIC WELDING, AND MANUFACTURING METHOD THEREFOR This invention discloses an electro-welding protective glove and its preparation method. The method comprises: S1, selecting raw materials; S2, preparing a refined terephthalic acid/graphene oxide/ethylene glycol modified slurry; S3, esterification reaction; S4, condensation reaction; S5, heating and melting the modified graphene oxide flame-retardant polyester masterbatch, then spinning it into a bundle; S6, weaving the obtained graphene oxide flame-retardant polyester filament into a woven fabric; S7, preparing a flame-retardant agent finishing solution, immersing the fabric into the finishing solution, then drying it; S8, according to the glove template, cutting and sewing the obtained fabric. This invention also provides an electro-welding protective glove prepared by the method. The method provided by this invention is simple and suitable for electro-welding and other fields, and can effectively protect human safety.",
24,FIRE-RESISTANT CABLED YARN AND TEXTILE,"The present application describes a cabled yarn (200) comprising at least two single plied yarns (100) each comprising meta-aramid fibres, para-aramid fibres, cellulose-based fibres, and wool fibres, twisted around a centrally located yarn (110) comprising a substantially elastic fibre. A fire-resistant textile material comprising the yarn, a garment comprising the material, and a method of manufacturing the yarn and material are also described.",D02G3/328;;D02G3/443;;D10B2201/22;;D10B2211/02;;D10B2331/021;;D02G3/047;;D02G3/04;;D02G3/047;;D02G3/28;;D02G3/32;;D02G3/38,D02G3/32;;D02G3/44,"FIRE-RESISTANT CABLED YARN AND TEXTILE The present application describes a cabled yarn (200) comprising at least two single plied yarns (100) each comprising meta-aramid fibres, para-aramid fibres, cellulose-based fibres, and wool fibres, twisted around a centrally located yarn (110) comprising a substantially elastic fibre. A fire-resistant textile material comprising the yarn, a garment comprising the material, and a method of manufacturing the yarn and material are also described.",
25,Fire-resistant textile,A woven fire-resistant fabric that contains a plurality of warp yarns in the warp direction of the woven fire-resistant fabric and a plurality of weft yarns in the weft direction of the woven fire-resistant fabric. The warp direction and weft direction are approximately perpendicular. At least a portion of the warp or weft yarns comprise a blend of solution dyed meta-aramid fibers and solution dyed para-aramid fibers. The para-aramid fibers contain a co-polymer being poly (diphenylether-co-para-phenylenediamine-terephthaloyldichloride) and the para-aramid fibers have a carbon black loading of greater than 1.0% by weight of the para-aramid fibers.,D03D15/513;;D03D15/283;;D03D15/47;;D03D15/533;;D03D15/54;;D10B2331/021;;D10B2401/02;;D10B2401/063;;D10B2501/00,D03D15/513;;D03D15/283;;D03D15/47;;D03D15/533;;D03D15/54;;D03D15/20,Fire-resistant textile A woven fire-resistant fabric that contains a plurality of warp yarns in the warp direction of the woven fire-resistant fabric and a plurality of weft yarns in the weft direction of the woven fire-resistant fabric. The warp direction and weft direction are approximately perpendicular. At least a portion of the warp or weft yarns comprise a blend of solution dyed meta-aramid fibers and solution dyed para-aramid fibers. The para-aramid fibers contain a co-polymer being poly (diphenylether-co-para-phenylenediamine-terephthaloyldichloride) and the para-aramid fibers have a carbon black loading of greater than 1.0% by weight of the para-aramid fibers.,
